image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6256.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6298.JPG,469,678,469,17,10,0.5882352941176471,60.67175526074564,0.04901363473064775,0.09883802018151669,5.337423761461959e-13,0.9393665670796191,"[[8.935551706450667e-07, -1.3618218373299515e-07, -0.0005603987496270809], [3.8833529184938554e-07, 5.585669947443807e-07, -0.0008537189267233445], [-0.001006620438096936, -0.00021985743873160902, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6256.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6301.JPG,469,692,469,18,10,0.5555555555555556,76.5282574847376,0.46710495313851474,0.0991930902038536,8.025473082512329e-13,0.8252116725738227,"[[1.1262167138970634e-06, 2.881755345878997e-06, -0.002910146763153105], [-4.665717202317078e-06, 2.06333516159785e-06, 0.0020994041808868194], [0.001929941149317404, -0.003480957022142215, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6256.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6304.JPG,469,1111,469,14,10,0.7142857142857143,80.61614573709497,2.0878241606231912e-13,1.2813446516878483e-13,0.0,4.462149874385718e-13,"[[-2.649921958493708e-07, 5.29649581700744e-07, -0.0004638620249348278], [1.7855636404785013e-06, 4.1077456983607506e-07, -0.0017118302178209077], [-0.00035487241707878823, -0.0006244291244041033, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6256.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6310.JPG,469,1277,469,21,10,0.47619047619047616,47.98550393302505,5.910197498025449,0.05994217197349603,3.730197786905979e-13,0.2541513735091367,"[[1.5032852588438404e-06, -5.00405691174701e-07, -0.0005207994065162312], [1.7600149383979872e-06, 4.4202747684416125e-08, -0.0011668125038428933], [-0.0021169701373959225, 0.0004031575309678527, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6256.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6313.JPG,469,1098,469,17,8,0.47058823529411764,90.0782715679604,47.577218935718804,0.0168717116410827,9.414697096128192e-13,0.13497369312194252,"[[-2.3178943324424258e-07, 1.2128569722009779e-06, -0.000803547835342298], [2.2382773320931602e-07, 2.9525634548506315e-07, -0.0004992054792847511], [4.33535739362268e-05, -0.0012040310000835132, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6256.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6316.JPG,469,922,469,19,9,0.47368421052631576,164.18023978317342,38.51732180335015,0.019622820027723954,2.410903994307835e-12,0.15240382159123317,"[[-3.819944289898385e-08, 3.640540560497482e-08, 6.116058845224462e-06], [1.488703842944536e-06, 4.609106816760059e-07, -0.0015390259219801642], [-0.0009946550777623477, -0.00026708531266883296, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6256.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6320.JPG,469,741,469,61,27,0.4426229508196721,46.71664862708832,1.7633052472607438,0.39089484588226436,0.39706377464872245,0.8647788907538416,"[[-1.6556699809375382e-07, -2.0002851516998835e-05, 0.007744188656634966], [2.4462816653258486e-05, 2.560774012460657e-06, 0.0022217888298997276], [-0.006802027482919072, -0.004878974105687971, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6262.JPG,860,643,860,167,76,0.4550898203592814,39.3853583094789,1.2520190946499916,0.40958647976253515,0.3823151277524597,0.9565882910199398,"[[-2.9607312177181655e-07, 5.733004646977749e-07, 0.0017306154208119157], [1.3975726938452535e-06, 4.641739014740183e-07, -0.013592281703752452], [-0.0022107537923823422, 0.011250575049506186, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6265.JPG,860,857,860,111,27,0.24324324324324326,88.13686020383743,12.56404248626949,0.38057025038810355,0.29978711366056304,0.8929118980601581,"[[-4.27091128220668e-08, 2.8939356450704645e-07, -9.087930482174657e-06], [1.1210718692268857e-06, 2.3164694813626416e-07, -0.005282207856987781], [-0.0008301162424350852, 0.003956434586855244, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6268.JPG,860,884,860,88,17,0.19318181818181818,80.55032949065068,6.517338806531089,0.2980012261904628,0.11155033684988994,0.8890013034976345,"[[-1.210587896066613e-08, 1.2176515662384631e-06, -0.0006367718260458705], [2.1355918883922744e-07, 2.7398217480214456e-07, -0.008297823161521523], [-0.00018359802511978677, 0.006596402730073649, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6271.JPG,860,898,860,64,15,0.234375,123.81999471161804,69.79356221640364,0.04087386898921412,2.4473229713808625e-12,0.2317535393611255,"[[1.1823697189672828e-06, 2.267556372929575e-07, -0.0009895404229320645], [3.298735004150669e-07, -7.601579092607294e-08, -0.000151109799766906], [-0.0012811862447281357, -0.00016519097053667247, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6280.JPG,860,817,860,64,13,0.203125,143.1259030710085,37.83214621156439,0.13464436247220046,1.8717408366158788e-12,0.6341833465056136,"[[1.0131366760057564e-06, 8.686272764926982e-07, -0.0015132672927784952], [-3.461349536621316e-07, 5.757117442308202e-08, 0.00025183287533639534], [-0.0005079570599861835, -0.0007579320815147144, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6283.JPG,860,822,860,44,10,0.22727272727272727,162.52358479166304,119.23699555408601,0.1225615186314986,1.7256375447567631e-12,0.5536081821848005,"[[1.182544794320597e-06, -2.4610199777249913e-07, -0.0007615814833460775], [6.234762846170825e-07, 4.524606972578277e-08, -0.0005504922195714557], [-0.0014207923623274993, 0.00019584729649347178, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6286.JPG,860,843,860,38,13,0.34210526315789475,65.36499286189947,48.589445100263575,0.024791908537182664,2.0151445169956915e-12,0.08507661141156829,"[[2.1703628290577077e-06, -2.391984631094042e-07, -0.0013320058244897211], [-6.589057270065458e-07, 1.0468730175317436e-07, 0.0003733280175921966], [-0.0016085363995401918, 0.00016406167148901428, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6289.JPG,860,1298,860,62,11,0.1774193548387097,169.75141537729232,68.04965396591615,0.08109774890197691,1.3974605390374901e-12,0.6364560720731512,"[[4.0774915266096955e-06, -1.4044038518415077e-06, -0.0024868480143408543], [-2.9008879402262153e-06, 6.199178405339983e-07, 0.001904823975871716], [-0.0017572928211916823, 0.0008059966828041531, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6292.JPG,860,1400,860,62,11,0.1774193548387097,169.5797061681064,109.54596049281787,0.04395093613442451,7.2423492846928585e-12,0.3602903531655648,"[[5.537251095706754e-07, 2.761611751101745e-07, -0.0006487546192638379], [5.096784334180846e-07, 1.9823127617276872e-07, -0.0005382279521883516], [-0.0008755723750414774, -0.0004121375545521881, 0.9999999999999999]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6295.JPG,860,898,860,51,11,0.21568627450980393,105.3737357402363,82.46640451231679,0.04022770186801293,1.4740319003229934e-12,0.43538451074221185,"[[-4.617798476750952e-07, 1.2706889484324445e-06, -0.0008685272045321614], [3.1292211608817986e-07, -1.7385487207774418e-07, -5.451924758253381e-05], [0.00015944541748050885, -0.0011869242993059258, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6298.JPG,860,678,860,47,11,0.23404255319148937,123.7211667497646,59.7605760785812,0.17916426253498166,8.377036655826738e-13,0.8962309912127155,"[[1.070296826612438e-06, -2.2958107267361763e-07, -0.0005681579525402217], [1.1151187423755066e-06, -1.9971763917943102e-07, -0.0006157587109385811], [-0.001861859163552969, 0.00038005820691547663, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6301.JPG,860,692,860,55,10,0.18181818181818182,225.1521646388546,142.41477736469167,0.021741878879711515,3.232412903860744e-13,0.14928836344257376,"[[4.052055039503622e-06, 1.0899283205372726e-05, -0.011331077728181933], [2.2446319530380502e-06, -3.430613460503602e-05, 0.025095032455902902], [-0.008068530893596427, 0.006026413040626042, 1.0]]"
